id,0,1,2,3,4,5,6,7
1,2,3,4,3,10,4,1,3
2,0,6,9,7,4,2,0,2
3,0,7,10,6,5,2,0,0
4,0,2,7,5,4,4,2,6
5,0,10,8,2,5,3,0,2
6,2,2,6,4,8,3,2,3
7,0,9,6,6,4,1,2,2
8,0,4,10,6,9,1,0,0
9,0,1,6,10,3,3,3,4
10,0,2,6,4,4,6,7,1
11,0,11,11,6,0,2,0,0
12,2,2,5,4,5,5,0,7
13,0,6,10,5,5,1,0,3
14,1,3,6,4,5,4,4,3
15,0,2,8,8,6,0,3,3
16,2,2,10,7,4,2,2,1
17,4,4,6,6,1,4,3,2
18,2,4,12,6,6,0,0,0
19,2,6,9,4,3,4,1,1
20,0,2,3,6,3,8,6,2
21,2,5,9,3,6,2,0,3
22,0,1,7,8,4,5,3,2
23,0,12,10,6,0,2,0,0
24,0,5,5,9,3,5,2,1
25,0,9,6,4,7,1,2,1
26,0,4,7,6,3,4,4,2
27,0,2,6,8,8,5,0,1
28,0,4,10,6,4,2,1,3
29,0,3,11,8,4,1,2,1
30,0,2,9,10,1,2,3,3
31,0,8,11,3,5,3,0,0
32,0,0,8,11,3,4,2,2
33,4,6,7,5,4,2,2,0
34,0,2,7,14,2,0,0,5
35,0,7,8,6,7,2,0,0
36,0,9,5,3,8,1,2,2
37,0,2,4,7,8,7,2,0
38,0,2,5,4,7,3,4,5
39,0,2,6,7,2,5,5,3
40,0,4,4,5,6,5,3,3
41,0,2,9,13,2,0,3,1
42,0,2,11,8,4,2,2,1
43,1,0,11,8,4,3,2,1
44,0,6,10,6,4,2,0,2
45,0,3,6,5,4,4,4,4
46,0,4,11,10,2,1,2,0
47,4,4,10,5,2,2,2,1
48,2,2,8,6,4,4,1,3
49,2,4,6,4,6,5,2,1
50,1,2,6,3,5,5,1,7
